pid,laddr,raddr,status
0,127.0.0.1@8080,127.0.0.1@59864,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59858,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59843,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59801,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59860,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59854,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59852,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59846,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59797,TIME_WAIT
0,127.0.0.1@20121,127.0.0.1@59772,TIME_WAIT
